路径编号,车型,节点序列,是否可行,总成本,固定成本,能耗成本,碳排成本,等待成本,迟到成本,总距离,违规信息,到达时刻,服务开始时刻,离开时刻
1,fuel_1500,0 -> 6_2 -> 0,True,917.9618259853952,400.0,195.7058571263175,42.575667774701046,128.8469677510433,150.83333333333337,81.2762683367306,[],"[8.0, 16.0, 17.481303225095065]","[8.0, 16.0, 17.481303225095065]","[8.0, 16.333333333333332, 17.481303225095065]"
2,fuel_1500,0 -> 54_5 -> 0,True,1082.4755184144014,400.0,454.45887080970806,98.86719889211724,129.14944871257626,0.0,192.21095155748,[],"[8.0, 10.87586089770452, 20.38151061521864]","[8.0, 17.333333333333332, 20.38151061521864]","[8.0, 17.666666666666664, 20.38151061521864]"
3,fuel_1500,0 -> 64_1 -> 0,True,768.5713189546357,400.0,229.60740298693332,49.95092457490374,89.01299139279871,0.0,96.9481575978232,[],"[8.0, 9.699350430360065, 15.562215031984321]","[8.0, 14.15, 15.562215031984321]","[8.0, 14.483333333333334, 15.562215031984321]"
4,fuel_1500,0 -> 59_1 -> 0,True,890.4416804577079,400.0,390.15534806185997,84.87801399261662,15.408318403231362,0.0,164.154552852561,[],"[8.0, 10.479584079838432, 14.233163527901397]","[8.0, 11.25, 14.233163527901397]","[8.0, 11.583333333333334, 14.233163527901397]"
5,fuel_1500,0 -> 59_2 -> 0,True,890.4416804577079,400.0,390.15534806185997,84.87801399261662,15.408318403231362,0.0,164.154552852561,[],"[8.0, 10.479584079838432, 14.233163527901397]","[8.0, 11.25, 14.233163527901397]","[8.0, 11.583333333333334, 14.233163527901397]"
6,fuel_1500,0 -> 62_5 -> 0,True,873.4444320694329,400.0,233.181743755548,50.72851982582097,189.5341684880638,0.0,97.7527149276738,[],"[8.0, 9.706624908930143, 20.89735473061686]","[8.0, 19.183333333333334, 20.89735473061686]","[8.0, 19.516666666666666, 20.89735473061686]"
7,fuel_3000,0 -> 45_1 -> 45_2 -> 0,True,767.3724400713338,400.0,202.71324764671198,44.10012051793877,120.55907190668307,0.0,84.711665689376,[],"[8.0, 9.588713071332513, 15.950000000000001, 17.47982578657311]","[8.0, 15.616666666666667, 15.950000000000001, 17.47982578657311]","[8.0, 15.950000000000001, 16.283333333333335, 17.47982578657311]"
8,fuel_3000,0 -> 43_3 -> 43_2 -> 0,True,768.1823627361861,400.0,181.45258503723554,39.47487873303486,147.25489896591566,0.0,77.177075385153,[],"[8.0, 9.52058838503755, 17.216666666666665, 18.64007168623097]","[8.0, 16.883333333333333, 17.216666666666665, 18.64007168623097]","[8.0, 17.216666666666665, 17.549999999999997, 18.64007168623097]"
9,fuel_3000,0 -> 48_4 -> 68_3 -> 0,True,939.209556465557,400.0,323.65335225106855,70.4105528671822,145.14565134730617,0.0,138.2192713681406,[],"[8.0, 9.469777075525109, 17.88960702377625, 20.287528543783132]","[8.0, 16.1, 18.516666666666666, 20.287528543783132]","[8.0, 16.433333333333334, 18.849999999999998, 20.287528543783132]"
10,fuel_3000,0 -> 60_1 -> 49_3 -> 0,True,641.8264703414003,400.0,152.0640259539914,33.08141894456379,56.68102544284508,0.0,62.627973863494105,[],"[8.0, 9.155046862200525, 11.494235198990554, 13.735828023017593]","[8.0, 10.383333333333333, 13.1, 13.735828023017593]","[8.0, 10.716666666666667, 13.433333333333334, 13.735828023017593]"
11,fuel_3000,0 -> 74_2 -> 84_1 -> 12_1 -> 2_1 -> 0,True,1085.2054594733622,400.0,401.76456256033276,87.40359021639408,108.46079086471299,87.57651583192248,168.58718462080384,[],"[8.0, 10.020787526936793, 13.972839596494225, 17.584863649971783, 18.010197533322177, 19.42330347875077]","[8.0, 13.183333333333334, 16.233333333333334, 17.584863649971783, 18.010197533322177, 19.42330347875077]","[8.0, 13.516666666666667, 16.566666666666666, 17.918196983305116, 18.34353086665551, 19.42330347875077]"
12,ev_3000,0 -> 88_1 -> 55_3 -> 68_1 -> 0,True,727.1127629574353,400.0,148.55522770873432,29.498176770334958,110.57175765609479,38.48760082227134,221.59515524632232,[],"[8.0, 9.097468318997603, 13.357277131530992, 20.569752016445428, 22.340613893561894]","[8.0, 10.066666666666666, 17.916666666666668, 20.569752016445428, 22.340613893561894]","[8.0, 10.4, 18.25, 20.90308534977876, 22.340613893561894]"
13,fuel_3000,0 -> 60_5 -> 72_2 -> 0,True,790.3014265928443,400.0,166.95379355275236,36.32067712434417,187.0269559157478,0.0,73.2520519576224,[],"[8.0, 9.155046862200525, 11.093605342012083, 20.72328619691259]","[8.0, 10.383333333333333, 19.216666666666665, 20.72328619691259]","[8.0, 10.716666666666667, 19.549999999999997, 20.72328619691259]"
14,fuel_3000,0 -> 63_6 -> 48_3 -> 0,True,868.0656568801224,400.0,282.7411343631975,61.51012943429587,123.81439308262905,0.0,117.3126400521083,[],"[8.0, 9.675947012535214, 17.170454745264756, 18.51448503556245]","[8.0, 15.866666666666667, 17.170454745264756, 18.51448503556245]","[8.0, 16.2, 17.503788078598088, 18.51448503556245]"
15,fuel_3000,0 -> 53_3 -> 28_2 -> 0,True,879.3749197306063,400.0,244.1113110566537,53.10623929301486,182.15736938093784,0.0,110.7406891052937,[],"[8.0, 9.197353029112765, 19.128111835173677, 21.515025639271457]","[8.0, 17.983333333333334, 19.45, 21.515025639271457]","[8.0, 18.316666666666666, 19.78333333333333, 21.515025639271457]"
16,fuel_3000,0 -> 43_4 -> 50_5 -> 0,True,995.2674751612116,400.0,338.57848909029235,73.65750559966276,183.0314804712565,0.0,149.59523160839228,[],"[8.0, 9.52058838503755, 18.361170924732956, 22.474611389273136]","[8.0, 16.883333333333333, 20.15, 22.474611389273136]","[8.0, 17.216666666666665, 20.48333333333333, 22.474611389273136]"
17,fuel_3000,0 -> 85_1 -> 61_1 -> 75_2 -> 0,True,886.9246531711831,400.0,354.8850760114942,77.20499179905772,54.83458536063104,0.0,153.1371735327005,[],"[8.0, 9.446942848311886, 11.125527999397, 13.23579988425956, 16.543676343959863]","[8.0, 9.85, 12.283333333333333, 14.416666666666666, 16.543676343959863]","[8.0, 10.183333333333334, 12.616666666666667, 14.75, 16.543676343959863]"
18,fuel_3000,0 -> 52_3 -> 31_4 -> 0,True,1020.84836526055,400.0,432.34501424312714,94.05634537847689,94.447005638946,0.0,180.0473502688302,[],"[8.0, 10.677620703614808, 16.500029014437892, 18.636117238693913]","[8.0, 15.083333333333334, 16.816666666666666, 18.636117238693913]","[8.0, 15.416666666666668, 17.15, 18.636117238693913]"
19,fuel_3000,0 -> 52_1 -> 26_1 -> 67_2 -> 0,True,1049.9115370997881,400.0,426.8126468658274,92.85278285397116,130.2461073799896,0.0,175.79853172189698,[],"[8.0, 10.677620703614808, 15.81707965999775, 16.776327600721295, 20.639382536284707]","[8.0, 15.083333333333334, 15.833333333333334, 18.866666666666667, 20.639382536284707]","[8.0, 15.416666666666668, 16.166666666666668, 19.2, 20.639382536284707]"
20,ev_3000,0 -> 8_8 -> 8_2 -> 0,True,480.4667662899231,400.0,43.8306356981561,8.70332104579545,27.93280954597151,0.0,66.0548965441108,[],"[8.0, 9.420026189368091, 11.15, 13.320749516673697]","[8.0, 10.816666666666666, 11.15, 13.320749516673697]","[8.0, 11.15, 11.483333333333334, 13.320749516673697]"
21,fuel_3000,0 -> 53_4 -> 78_2 -> 0,True,935.5839533001708,400.0,287.8281955262479,62.61681591372927,185.1389418601937,0.0,132.62163095840418,[],"[8.0, 9.197353029112765, 19.429033211210882, 22.28220996529952]","[8.0, 17.983333333333334, 19.9, 22.28220996529952]","[8.0, 18.316666666666666, 20.23333333333333, 22.28220996529952]"
22,fuel_3000,0 -> 57_2 -> 50_6 -> 0,True,1071.4830602599818,400.0,418.74802425154235,91.09833003280434,161.63670597563515,0.0,185.09310694908848,[],"[8.0, 9.368115578510576, 17.333382456040997, 22.474611389273136]","[8.0, 14.633333333333333, 20.15, 22.474611389273136]","[8.0, 14.966666666666667, 20.48333333333333, 22.474611389273136]"
23,fuel_3000,0 -> 61_3 -> 63_1 -> 0,True,988.0443430347043,400.0,416.7940814214055,90.6732511822875,80.57701043101133,0.0,178.0361026181177,[],"[8.0, 9.852142789957668, 14.269006688491766, 17.532764683423654]","[8.0, 12.283333333333333, 15.866666666666667, 17.532764683423654]","[8.0, 12.616666666666667, 16.2, 17.532764683423654]"
24,fuel_3000,0 -> 42_5 -> 52_5 -> 0,True,916.8961399946886,400.0,346.45890635849344,75.37188468092035,95.06534895527487,0.0,153.1610174637362,[],"[8.0, 9.954216693799426, 10.609182525103497, 17.933270421128935]","[8.0, 10.233333333333333, 15.083333333333334, 17.933270421128935]","[8.0, 10.566666666666666, 15.416666666666668, 17.933270421128935]"
